objectid,remark,kode2,id,nama_danau,lokasi,provinsi,luas_ha_,klasifikas,tipe,pot_mw
466,Danau/Situ,17908A,ID-BT.51,Situ Panebong,"Kec. Kibin, Kab. Serang",Banten,37.99,Kecil,Buatan,1.89950001
467,Danau/Situ,17923A,ID-BT.20,Rawa Patrasana,"Kec. Kresek, Kab. Tangerang",Banten,100.54,Kecil,-,5.02699995
468,Danau/Situ,17953A,ID-BT.89,Noname 24,"Kec. Kragilan, Kab. Serang",Banten,31.62,Kecil,-,1.58099997
469,Danau/Situ,18136A,ID-JT.131,Waduk Wadaslintang,"Kec. Wadaslintang, Kab. Wonosobo",Jawa Tengah,1300.0,Sedang,Buatan,65.0
470,Danau/Situ,18153A,ID-JT.35,Telaga Menjer,"Kec. Garung, Kab. Wonosobo",Jawa Tengah,65.14,Kecil,Vulkanik,3.25699997
471,Danau/Situ,18160A,ID-JT.36,Telaga Merdada,"Kec. Batur, Kab. Banjarnegara",Jawa Tengah,20.25,Kecil,Vulkanik,1.01250005
472,Danau/Situ,18288A,ID-JT.109,Waduk Mrica,"Kec. Bawang dan Wanadadi, Kab. Banjarnegara",Jawa Tengah,631.21,Kecil,Buatan,31.56049919
473,Danau/Situ,18300A,ID-JT.119,Waduk Penjalin,"Kec. Paguyangan, Kab. Brebes",Jawa Tengah,116.5,Kecil,Buatan,5.82499981
474,Danau/Situ,18318A,ID-JB.226,Situ Lengkong,"Kec. Panjalu, Kab. Ciamis",Jawa Barat,66.89,Kecil,-,3.34450006
475,Danau/Situ,18329A,ID-JT.107,Waduk Malahayu,"Kec. Banjarharjo, Kab. Brebes",Jawa Tengah,660.24,Kecil,Buatan,33.01200104
476,Danau/Situ,18332A,ID-JB.303,Waduk Wisata Darma,"Kec. Darma, Kab. Kuningan",Jawa Barat,405.78,Kecil,Buatan,20.28899956
477,Danau/Situ,18335A,ID-JT.89,Waduk Cacaban,"Kec. Kedungbanteng dan Jatinegara, Kab. Tegal",Jawa Tengah,481.58,Kecil,Buatan,24.07900047
478,Danau/Situ,18342A,ID-JB.263,Situ Sedong,"Kec. Sedong, Kab. Cirebon",Jawa Barat,58.07,Kecil,Buatan,2.90350008
479,Danau/Situ,18368A,ID-JB.242,Situ Patok,"Kec. Mundu, Kab. Cirebon",Jawa Barat,113.75,Kecil,Vulkanik,5.6875
480,Danau/Situ,18455A,ID-JT.123,Waduk Sempor,"Kec. Sempor, Kab. Kebumen",Jawa Tengah,193.12,Kecil,Buatan,9.65600014
481,Danau/Situ,18456A,ID-JI.19,Danau Kastoba,"Kec. Tambak dan Sangkapura, Kab. Gresik",Jawa Timur,32.24,Kecil,Vulkanik,1.61199999
482,Danau/Situ,18515A,ID-JI.33,Kawah Ijen,"Kec. Klabang, Kab. Bondowoso",Jawa Timur,48.16,Kecil,Vulkanik,2.40799999
483,Danau/Situ,18516A,ID-JI.34,Kawah Tegalweru,"Kec. Klabang, Kab. Bondowoso",Jawa Timur,30.54,Kecil,Vulkanik,1.52699995
484,Danau/Situ,18601A,ID-NB.106,Waduk Mamak,"Kec. Lapelolok, Kab. Sumbawa",Nusa Tenggara Barat,261.46,Kecil,Buatan,13.07299995
485,Danau/Situ,18603A,ID-NB.17,Danau Taliwang,"Kec. Seteluk dan Taliwang, Kab. Sumbawa Barat",Nusa Tenggara Barat,391.98,Kecil,Paparan banjir,19.59900093
486,Danau/Situ,18604A,ID-NB.108,Waduk Tiukulit,"Kec. Plampang, Kab. Sumbawa",Nusa Tenggara Barat,62.54,Kecil,Buatan,3.12700009
487,Danau/Situ,18620A,ID-NB.85,Embung Roiroka,"Kec. Belo, Kab. Bima",Nusa Tenggara Barat,46.54,Kecil,Buatan,2.3269999
488,Danau/Situ,18663A,ID-NB.11,Danau Ndano Motihalo,"Kec. Sanggar, Kab. Bima",Nusa Tenggara Barat,56.49,Kecil,-,2.82450008
489,Danau/Situ,18665A,ID-NB.15,Danau Satonda,"Kec. Pekat, Kab. Dompu",Nusa Tenggara Barat,88.61,Kecil,Vulkanik,4.43050003
490,Danau/Situ,18749A,ID-NT.110,Danau Waibelen,"Kec. Tanjung Bunga, Kab. Flores Timur",Nusa Tenggara Timur,45.14,Kecil,Vulkanik,2.25699997
491,Danau/Situ,18761A,ID-NT.89,Danau Sano Nggoang,"Kec. Sano Nggoang, Kab. Manggarai Barat",Nusa Tenggara Timur,522.88,Kecil,-,26.1439991
492,Danau/Situ,18905A,ID-NT.15,Danau Alibagis,"Kec. Pembantu Pantar, Kab. Alor",Nusa Tenggara Timur,43.49,Kecil,Bekas tambang,2.17449999
493,Danau/Situ,18918A,ID-NT.40,Danau Kotakaya,"Kec. Adonara Timur, Kab. Flores Timur",Nusa Tenggara Timur,22.43,Kecil,-,1.12150002
494,Danau/Situ,19083A,ID-NT.22,Danau Bisanduli,"Kec. Rote Timur, Kab. Rote Ndao",Nusa Tenggara Timur,41.86,Kecil,Laguna,2.09299994
495,Danau/Situ,19088A,ID-NT.23,Danau Bisaolifoe,"Kec. Rote Timur, Kab. Rote Ndao",Nusa Tenggara Timur,22.02,Kecil,Laguna,1.10099995
496,Danau/Situ,19095A,ID-NT.66,Danau Oemasapoka,"Kec. Rote Timur, Kab. Rote Ndao",Nusa Tenggara Timur,1246.25,Sedang,Laguna,62.3125
497,Danau/Situ,19097A,ID-NT.43,Danau Ledulu,"Kec. Rote Timur, Kab. Rote Ndao",Nusa Tenggara Timur,194.24,Kecil,-,9.71199989
498,Danau/Situ,19098A,ID-NT.67,Danau Oendui,"Kec. Rote Timur, Kab. Rote Ndao",Nusa Tenggara Timur,46.24,Kecil,-,2.31200004
499,Danau/Situ,19140A,ID-NT.105,Danau Tua,"Kec. Rote Barat Laut dan Rote Barat Daya, Kab.Rote Ndao",Nusa Tenggara Timur,91.31,Kecil,-,4.56549978
500,Danau/Situ,19149A,ID-NT.64,Danau Oehela,"Kec. Rote Barat Daya, Kab. Rote Ndao",Nusa Tenggara Timur,27.43,Kecil,-,1.37150002
501,Danau/Situ,19150A,ID-NT.17,Danau Anak,"Kec. Rote Barat Laut, Kab.Rote Ndao",Nusa Tenggara Timur,68.52,Kecil,-,3.42600012
502,Danau/Situ,19219A,ID-BA.1,Danau Batur,"Kec. Kintamani, Kab. Bangli",Bali,1649.37,Sedang,Vulkanik,82.46849823
503,Danau/Situ,19229A,ID-NB.16,Danau Segara Anak,"Kec. Bayan, Kab. Lombok Barat",Nusa Tenggara Barat,1056.99,Sedang,Vulkanik,52.84949875
504,Danau/Situ,19362A,ID-NB.104,Waduk Batujai,"Kec. Praya, Kab. Lombok Tengah",Nusa Tenggara Barat,750.2,Kecil,Buatan,37.50999832
505,Danau/Situ,19491A,ID-NB.23,Embung Bedah,"Kec. Keruak, Kab. Lombok Timur",Nusa Tenggara Barat,97.04,Kecil,Buatan,4.85200024
506,Danau/Situ,19522A,ID-NB.22,Embung Batubokah,"Kec. Praya Barat, Kab. Lombok Tengah",Nusa Tenggara Barat,21.83,Kecil,Buatan,1.09150004
507,Danau/Situ,19527A,ID-NB.107,Waduk Pengga,"Kec. Praya Barat, Kab. Lombok Tengah",Nusa Tenggara Barat,554.55,Kecil,Buatan,27.72750092
508,Danau/Situ,19547A,ID-BA.4,Danau Buyan,"Kec. Sukasada, Kab. Buleleng",Bali,501.34,Kecil,Vulkanik,25.06699944
509,Danau/Situ,19548A,ID-BA.5,Danau Tamblingan,"Kec. Banjar, Kab. Buleleng",Bali,161.06,Kecil,Vulkanik,8.05300045
510,Danau/Situ,19549A,ID-BA.3,Danau Bratan,"Kec. Baturiti, Kab. Tabanan",Bali,397.69,Kecil,Vulkanik,19.8845005
511,Danau/Situ,19554A,ID-BA.10,Waduk Palasari,"Kec. Melaya, Kab. Jembrana",Bali,55.49,Kecil,Buatan,2.77449989
512,Danau/Situ,19980A,ID-SS.8,Danau Lebak Nilang,"Kec. Teluk Gelam, Kab. Ogan Komering Ilir",Sumatera Selatan,93.82,Kecil,Oxbow,4.69099998
513,Danau/Situ,19982A,ID-SS.22,Noname,"Kec. Teluk Gelam, Kab. Ogan Komering Ilir",Sumatera Selatan,55.76,Kecil,-,2.78800011
514,Danau/Situ,19987A,ID-SS.23,Noname,"Kec. Teluk Gelam, Kab. Ogan Komering Ilir",Sumatera Selatan,40.44,Kecil,-,2.02200007
515,Danau/Situ,19992A,ID-SS.24,Noname,"Kec. Teluk Gelam, Kab. Ogan Komering Ilir",Sumatera Selatan,20.83,Kecil,-,1.04149997
516,Danau/Situ,20017A,ID-SS.21,Danau Wisata Teluk Gelam,"Kec. Teluk Gelam, Kab. Ogan Komering Ilir",Sumatera Selatan,81.61,Kecil,-,4.08050013
517,Danau/Situ,20018A,ID-SS.28,Noname,"Kec. Teluk Gelam, Kab. Ogan Komering Ilir",Sumatera Selatan,460.89,Kecil,-,23.04450035
518,Danau/Situ,20022A,ID-SS.30,Noname,"Kec. Pedamaran, Kab. Ogan Komering Ilir",Sumatera Selatan,624.37,Kecil,-,31.21850014
519,Danau/Situ,20038A,ID-SS.27,Noname,"Kec. Pedamaran, Kab. Ogan Komering Ilir",Sumatera Selatan,107.0,Kecil,-,5.3499999
520,Danau/Situ,20265A,ID-SS.38,Noname,"Kec. Seberanghulu Satu dan Seberanghulu Dua, Kab. Palembang",Sumatera Selatan,53.69,Kecil,-,2.68449998
521,Waduk,2 WA,ID-JT.94,Waduk Gembong,"Kec. Gembong, Kab. Pati",Jawa Tengah,44.25,Kecil,Buatan,2.2125001
522,Waduk,3 WA,ID-JT.97,Waduk Gunungrowo,"Kec. Gembong, Kab. Pati",Jawa Tengah,50.92,Kecil,Buatan,2.546
523,Waduk,4 WA,ID-JT.92,Waduk Gajah Mungkur,"Kec. Wonogiri, Eromoko, Baturetno, dan Nguntoronadi, Kab. Wonogiri",Jawa Tengah,6129.3,Sedang,Buatan,306.46499634
524,Waduk,5 WA,ID-JT.99,Waduk Jombor,"Kec. Wedi, Kab. Klaten",Jawa Tengah,170.12,Kecil,Buatan,8.50599957
525,Waduk,16 WA,ID-JT.90,Waduk Cengklik,"Kec. Sambi, Kab. Boyolali",Jawa Tengah,302.56,Kecil,Buatan,15.12800026
526,Waduk,17 WA,ID-JT.81,Waduk Bade,"Kec. Karang Gede, Kab. Boyolali",Jawa Tengah,34.02,Kecil,Buatan,1.70099998
527,Waduk,18 WA,ID-JT.101,Waduk Kedungombo,"Kec. Andong, Miri, Karangrayung dan Kemusu, Kab. Boyolali dan Grobogan",Jawa Tengah,3009.29,Sedang,Buatan,150.46400452
528,Waduk,19 WA,ID-JT.125,Waduk Sidorejo,"Kec. Kemusu dan Toroh, Kab. Grobogan",Jawa Tengah,101.14,Kecil,Buatan,5.05700016
529,Waduk,20 WA,ID-JI.231,Waduk Sengguruh,"Kec. Pagelaran, Kab. Malang",Jawa Timur,150.39,Kecil,Buatan,7.51949978
530,Waduk,23 WA,ID-JI.242,Waduk Sumengko,"Kec. Tikung, Kab. Lamongan",Jawa Timur,170.39,Kecil,Buatan,8.51949978
531,Waduk,27 WA,ID-JI.240,Waduk Sumberkepuh,"Kec. Lengkong, Kab. Nganjuk",Jawa Timur,29.43,Kecil,Buatan,1.47150004
532,Waduk,30 WA,ID-JI.256,Waduk Widas,"Kec. Saradan, Kab. Madiun",Jawa Timur,465.67,Kecil,Buatan,23.28350067
533,Waduk,38 WA,ID-JI.211,Waduk Pacal,"Kec. Bubulan dan Temayang, Kab. Bojonegoro",Jawa Timur,298.01,Kecil,Buatan,14.9005003
534,Waduk,39 WA,ID-JI.229,Waduk Selorejo,"Kec. Ngantang, Kab. Malang",Jawa Timur,334.44,Kecil,Buatan,16.72200012
535,Waduk,43 WA,ID-JI.177,Waduk Jajong,"Kec. Solokuro, Kab. Lamongan",Jawa Timur,27.84,Kecil,Buatan,1.39199996
536,Waduk,46 WA,ID-JI.251,Waduk Tuwiri,"Kec. Tikung, Kab. Lamongan",Jawa Timur,48.79,Kecil,Buatan,2.43950009
537,Waduk,47 WA,ID-JI.161,Waduk Canggah,"Kec. Tikung, Kab. Lamongan",Jawa Timur,33.48,Kecil,Buatan,1.67400002
538,Waduk,51 WA,ID-JI.180,Waduk Jotosanur,"Kec. Plandaan, Kab. Jombang",Jawa Timur,86.48,Kecil,Buatan,4.32399988
539,Waduk,53 WA,ID-JI.223,Waduk Rancang,"Kec. Lamongan dan Kembangbahu, Kab. Lamongan",Jawa Timur,58.63,Kecil,Buatan,2.93149996
540,Waduk,54 WA,ID-JI.165,Waduk Delikguno,"Kec. Tikung, Kab. Lamongan",Jawa Timur,28.57,Kecil,Buatan,1.42850006
541,Waduk,59 WA,ID-JI.244,Waduk Takeran,"Kec. Tikung, Kab. Lamongan",Jawa Timur,36.66,Kecil,Buatan,1.83299994
542,Waduk,69 WA,ID-JI.184,Waduk Kalen,"Kec. Kedungpring, Kab. Lamongan",Jawa Timur,32.59,Kecil,Buatan,1.62950003
543,Waduk,70 WA,ID-JI.232,Waduk Sentir,"Kec. Kedungpring, Kab. Lamongan",Jawa Timur,36.62,Kecil,Buatan,1.83099997
544,Waduk,71 WA,ID-JI.160,Waduk Caling,"Kec. Kedungpring, Kab. Lamongan",Jawa Timur,28.71,Kecil,Buatan,1.43550003
545,Waduk,72 WA,ID-JI.221,Waduk Prijetan,"Kec. Kedungpring, Kab. Lamongan",Jawa Timur,185.02,Kecil,Buatan,9.2510004
546,Waduk,73 WA,ID-JI.157,Waduk Bowo,"Kec. Modo, Kab. Lamongan",Jawa Timur,51.59,Kecil,Buatan,2.57949996
547,Waduk,77 WA,ID-JI.170,Waduk Gempol,"Kec. Kembangbahu, Kab. Lamongan",Jawa Timur,78.48,Kecil,Buatan,3.92400002
548,Waduk,78 WA,ID-JI.154,Waduk Balongganggang,"Kec. Sukodadi dan Sugio, Kab. Lamongan",Jawa Timur,58.94,Kecil,Buatan,2.94700003
549,Waduk,79 WA,ID-JI.172,Waduk German,"Kec. Sugio , Kab. Lamongan",Jawa Timur,53.33,Kecil,Buatan,2.66650009
550,Waduk,80 WA,ID-JI.174,Waduk Gondang,"Kec. Sugio , Kab. Lamongan",Jawa Timur,28.71,Kecil,Buatan,1.43550003
551,Waduk,83 WA,ID-BT.65,Waduk Krakatau Steel/ Waduk Krenceng,"Kec. Citangkil, Kota CIlegon",Banten,108.4,Kecil,Buatan,5.42000008
552,Waduk,84 WA,ID-BT.2,Bendungan Cikoncang,"Kec. Cikeusik, Kab. Pandeglang",Banten,90.29,Kecil,Buatan,4.51450014
553,Waduk,7909 WA,ID-AC.34,Waduk Sianjo-anjo,"Kec. Simpang Kanan, Kab. Aceh Singkil",Aceh,41.05,Kecil,Buatan,2.05250001
554,Waduk,7936 WA,ID-SU.33,Waduk Sigura-gura,"Kec. Pintu Pihan Meranti, Kab. Toba Samosir",Sumatera Utara,27.41,Kecil,Buatan,1.37049997
555,Waduk,7938 WA,ID-BE.9,Danau Tes,"Kec. Lebong Selatan, Kab. Lebong",Bengkulu,174.87,Kecil,-,8.74349976
556,Waduk,7940 WA,ID-RI.101,Bendungan/Waduk  Geringging,"Kec. Kampar Kiri, Kab. Kampar",Riau,342.8,Kecil,Buatan,17.13999939
557,Waduk,7945 WA,ID-RI.27,Danau Laut Napangga,"Kec. Pujud, Kab. Rokan Hilir",Riau,60.69,Kecil,-,3.03449988
558,Waduk,7961 WA,ID-KS.22,Waduk Riamkanan,"Kec. 	Aranio	, 	Kab. 	Banjar",Kalimantan Selatan,6129.32,Sedang,Buatan,306.46600342
559,Danau,20269A,ID-PB.13,Danau Erega 2,"Kec.Yamor, Kab.Kaimana",Papua Barat,372.77,Kecil,-,18.63850021
560,Waduk,8205 WA,ID-JI.257,Waduk Wonorejo,"Kec. Pagerwojo, Kab. Tulung Agung",Jawa Timur,357.68,Kecil,Buatan,17.88400078
561,Waduk,8206 WA,ID-SN.24,Bendungan Ponre-Ponre,"Kec. Libureng, Kab. Bone",Sulawesi Selatan,295.12,Kecil,-,14.75599957
562,Danau,20270A,ID-PA.295,Noname 178,"Kec. Pantai Timur, Kab. Sarmi",Papua,289.4,Kecil,-,14.47000027
563,Danau,20271A,ID-PA.438,Noname 321,"Kec. Megambilis, Kab. Mamberamo Tengah",Papua,181.68,Kecil,-,9.08399963
564,Danau,20272A,ID-PA.439,Noname 322,"Kec. Megambilis, Kab. Mamberamo Tengah",Papua,50.02,Kecil,-,2.50099993
565,Danau,20276A,ID-SS.25,Danau Pampangan,"Kec. Pampangan, Kab. Ogan Komering Ilir",Sumatera Selatan,260.95,Kecil,-,13.04749966
566,Danau,20277A,ID-KB.36,Danau Sumbu,"Kec. 	Selimbau	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,265.45,Kecil,Paparan Banjir,13.27250004
567,Danau,20278A,ID-SS.3,Danau Calo,"Kec. Lais, Kab. Musi Banyuasin",Sumatera Selatan,233.67,Kecil,-,11.68350029
568,Danau,20279A,ID-PA.292,Noname 175,"Kec. Pantai Timur, Kab. Sarmi",Papua,213.02,Kecil,-,10.65100002
569,Danau,20280A,ID-PA.282,Noname 165,"Kec. Pantai Timur, Kab. Sarmi",Papua,191.43,Kecil,-,9.57149982
570,Danau,20281A,ID-PA.148,Noname 31,"Kec. Mamberamo Ulu, Kab. Mamberamo Raya",Papua,74.63,Kecil,-,3.73149991
571,Danau,20282A,ID-KT.22,Danau Sadar,"Kec. 	Dusun Selatan	, 	Kab. 	Barito Selatan",Kalimantan Tengah,107.36,Kecil,-,5.36800003
572,Danau,20283A,ID-KS.21,Danau Bitin,"Kec. 	Danau Panggang	, 	Kab. 	Hulu Sungai Utara",Kalimantan Selatan,188.95,Kecil,-,9.44750023
573,Danau,20284A,ID-KT.44,Danau Limut,"Kec. 	Hilir Sper	, 	Kab. 	Barito Selatan",Kalimantan Tengah,188.01,Kecil,Oxbow,9.4005003
574,Danau,20285A,ID-SB.14,Danau Siberut Barat,"Kec. Siberut Barat, Kab. Kepulauan Mentawai",Sumatera Barat,183.5,Kecil,Laguna,9.17500019
575,Waduk,6207 WA,ID-JI.220,Waduk Pondok,"Kec. Bringin, Kab. Ngawi",Jawa Timur,170.61,Kecil,Buatan,8.53050041
576,Danau,20286A,ID-LA.15,Danau Tirta Gangga,"Kec. Putra Rumbia, Kab.Lampung Tengah",Lampung,169.5,Kecil,-,8.47500038
577,Waduk,6208 WA,ID-NT.1,Bendungan Tilong,"Kec. Kupang Tengah, Kab. Kupang",Nusa Tenggara Timur,160.66,Kecil,Buatan,8.03299999
578,Danau,20287A,ID-JB.178,Situ Cipanunjang,"Kec. Pangalengan, Kab. Bandung",Jawa Barat,160.49,Kecil,-,8.02449989
579,Danau,20288A,ID-JB.19,Danau Cileunca,"Kec. Pangalengan, Kab. Bandung",Jawa Barat,93.65,Kecil,Buatan,4.68249989
580,Danau,20289A,ID-SS.1,Danau Air Hitam,"Kec. Pedamaran, Kab. Ogan Komering Ilir",Sumatera Selatan,154.79,Kecil,-,7.73950005
581,Danau,20290A,ID-SS.34,Noname,"Kec. Pedamaran, Kab. Ogan Komering Ilir",Sumatera Selatan,111.27,Kecil,-,5.56349993
582,Danau,20291A,ID-SS.29,Noname,"Kec. Teluk Gelam, Kab. Ogan Komering Ilir",Sumatera Selatan,56.49,Kecil,-,2.82450008
583,Waduk,6209 WA,ID-NB.2,Bendungan Pandan Duri,"Kec. Terara dan Sakra, Kab. Lombok Timur",Nusa Tenggara Barat,147.07,Kecil,Buatan,7.35349989
584,Waduk,6210 WA,ID-JB.296,Waduk Jatigede,"Kec, Kab. Sumedang",Jawa Barat,3588.41,Sedang,Buatan,179.42100525
585,Rawa,20292A,ID-BT.18,Rawa Dano,"Kec. Padarincang, Kab. Serang",Banten,1668.0,Sedang,Paparan banjir,83.40000153
586,Danau,20293A,ID-KS.20,Danau Bangkau,"Kec. 	Labuanamas Selatan	, 	Kab. 	Hulu Sungai Tengah",Kalimantan Selatan,616.02,Kecil,-,30.8010006
587,Danau,20294A,ID-KB.35,Danau Semangit,"Kec. 	Batang Lupar	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,587.83,Kecil,Paparan Banjir,29.39150047
588,Danau,20295A,ID-SS.19,Danau Teloko,"Kec. Kayu Agung, Kab. Ogan Komering Ilir",Sumatera Selatan,558.77,Kecil,-,27.93849945
589,Waduk,6211 WA,ID-NB.1,Bendungan Batubulan,"Kec. Moyohulu, Kab. Sumbawa",Nusa Tenggara Barat,521.26,Kecil,Buatan,26.06299973
590,Waduk,6212 WA,ID-YO.108,Waduk Sermo,"Kec. Kokap, Kab. Kulonprogo",DI Yogyakarta,145.84,Kecil,Buatan,7.29199982
591,Danau,20296A,ID-KB.95,Noname 56,"Kec. 	Bunut Hilir	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,145.72,Kecil,Oxbow,7.28599977
592,Danau,20297A,ID-KB.96,Noname 57,"Kec. 	Bunut Hilir	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,65.7,Kecil,Oxbow,3.28500009
593,Danau,20299A,ID-KB.156,Noname 117,"Kec. 	Selimbau	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,129.63,Kecil,Oxbow,6.48150015
594,Danau,20300A,ID-KB.121,Noname 82,"Kec. 	Selimbau	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,272.33,Kecil,Oxbow,13.6164999
595,Danau,18959A,ID-NT.107,Danau Tuamese,"Kec. Biboki Anleu, Kab. Timor Tengah Utara",Nusa Tenggara Timur,110.54,Kecil,Buatan,5.52699995
596,Danau,20301A,ID-KT.89,Noname 10,"Kec. 	Arut Selatan	, 	Kab. 	Kotawaringin Barat",Kalimantan Tengah,102.67,Kecil,-,5.1335001
597,Waduk,6213 WA,ID-NB.113,Waduk Diwu Moro,"Kec. Sape, Kab. Bima",Nusa Tenggara Barat,102.29,Kecil,-,5.11450005
598,Waduk,6214 WA,ID-JT.98,Waduk Jatibarang,"Kec. Gunung Pati, Kab. Kendal",Jawa Tengah,99.77,Kecil,Buatan,4.98850012
599,Danau,20302A,ID-PA.145,Noname 28,"Kec. Mamberamo Ulu, Kab. Mamberamo Raya",Papua,99.5,Kecil,-,4.9749999
600,Waduk,6215 WA,ID-AC.28,Waduk Paya Seunara,"Kec. Sukakarya, Kab. Sabang",Aceh,97.48,Kecil,Buatan,4.87400007
601,Danau,20304A,ID-JB.128,Situ Bagendit,"Kec. Banyuresmi, Kab. Garut",Jawa Barat,94.24,Kecil,-,4.71199989
602,Danau,20305A,ID-LA.10,Danau Menjukut,"Kec. Pematangsawa, Kab. Tanggamus",Lampung,93.36,Kecil,Laguna,4.66800022
603,Waduk,6216 WA,ID-JT.106,Waduk Lodan,"Kec. Sarang, Kab. Rembang",Jawa Tengah,92.47,Kecil,Buatan,4.62349987
604,Danau,20306A,ID-AC.15,Danau Laot Ni,"Kec. Aronganlambalek, Kab. Aceh Barat",Aceh,91.96,Kecil,Laguna,4.59800005
605,Danau,20307A,ID-KT.45,Danau Malawe,"Kec. 	Hilir Sper	, 	Kab. 	Barito Selatan",Kalimantan Tengah,90.7,Kecil,-,4.53499985
606,Danau,20308A,ID-KS.17,Wisata Danau Tamiyang,"Kec. 	Karang Intan	, 	Kab. 	Banjar",Kalimantan Selatan,88.83,Kecil,-,4.44150019
607,Waduk,6217 WA,ID-NB.105,Waduk Gapit,"Kec. Empang, Kab. Sumbawa",Nusa Tenggara Barat,84.12,Kecil,Buatan,4.20599985
608,Danau,20309A,ID-KB.93,Noname 54,"Kec. 	Bunut Hilir	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,81.99,Kecil,Oxbow,4.09950018
609,Danau,20310A,ID-KB.16,Danau Tanjungbunut,"Kec. 	Tayan Hilir	, 	Kab. 	Sanggau",Kalimantan Barat,80.03,Kecil,-,4.00150013
610,Waduk,6218 WA,ID-JK.46,Waduk Pluit,"Kec. Penjaringan, Kota Jakarta Utara",DKI Jakarta,79.78,Kecil,Buatan,3.98900008
611,Bekas Tambang,20311A,ID-KS.749,Noname 727,"Kec. 	Satui	, 	Kab. 	Tanahbumbu",Kalimantan Selatan,78.72,Kecil,Bekas tambang,3.93600011
612,Danau,20312A,ID-KT.160,Noname 81,"Kec. 	Tasikpayawan	, 	Kab. 	Katingan",Kalimantan Tengah,78.35,Kecil,Oxbow,3.91750002
613,Danau,20313A,ID-KB.90,Noname 51,"Kec. 	Embaloh Hilir	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,75.75,Kecil,Oxbow,3.7874999
614,Danau,20314A,ID-KB.161,Noname 122,"Kec. 	Embaloh Hilir	, 	Kab. 	Kapuas Hulu",Kalimantan Barat,52.0,Kecil,Oxbow,2.5999999
615,Danau,20315A,ID-MU.22,Telaga Roti,"Kec. Weda, Kab. Halmahera Tengah",Maluku Utara,74.63,Kecil,Laguna,3.73149991
616,Danau,20316A,ID-PA.314,Noname 197,"Kec. Ekadide, Kab. Paniai",Papua,250.56,Kecil,-,12.52799988
617,Waduk,6219 WA,ID-NB.3,Bendungan Pela Parado,"Kec. Monta, Kab. Bima",Nusa Tenggara Barat,71.95,Kecil,Buatan,3.59750009
618,Danau,20317A,ID-KT.294,Noname 215,"Kec. 	Paku	, 	Kab. 	Barito Timur",Kalimantan Tengah,70.25,Kecil,-,3.51250005
619,Danau,20318A,ID-PA.147,Noname 30,"Kec. Mamberamo Ulu, Kab. Mamberamo Raya",Papua,68.96,Kecil,-,3.44799995
620,Danau,20319A,ID-KT.69,Danau Tundai,"Kec. 	Sabangau	, 		Kota Palangkaraya",Kalimantan Tengah,67.6,Kecil,Oxbow,3.38000011
